Date,Price,Open,High,Low,Vol.,Change %,Sorting order
07/21/2011,5.14,5.14,5.51,5.14,234.46K,0.00%,2722
07/22/2011,5.04,5.04,5.14,5.04,131.36K,-1.95%,2721
07/25/2011,4.67,5.14,5.14,4.67,185.53K,-7.34%,2720
07/26/2011,4.95,4.76,5.23,4.67,144.85K,6.00%,2719
07/27/2011,4.86,4.76,4.95,4.76,11.46K,-1.82%,2718
07/28/2011,5.14,5.04,5.23,5.04,343.98K,5.76%,2717
07/29/2011,5.23,5.23,5.51,5.14,397.94K,1.75%,2716
08/01/2011,5.51,5.42,5.79,5.23,780.57K,5.35%,2715
08/02/2011,5.32,5.51,5.51,5.23,173.01K,-3.45%,2714
08/03/2011,5.6,5.23,5.6,5.23,390.66K,5.26%,2713
08/04/2011,5.42,5.6,5.6,5.42,106.74K,-3.21%,2712
08/05/2011,5.23,5.32,5.42,5.14,265.83K,-3.51%,2711
08/08/2011,5.32,5.23,5.51,5.14,93.89K,1.72%,2710
08/09/2011,5.32,5.32,5.51,5.23,101.71K,0.00%,2709
08/10/2011,5.51,5.14,5.7,5.14,389.91K,3.57%,2708
08/11/2011,5.42,5.51,5.51,5.42,13.38K,-1.63%,2707
08/12/2011,5.42,5.42,5.51,5.32,73.23K,0.00%,2706
08/15/2011,5.42,5.42,5.79,5.42,384.23K,0.00%,2705
08/16/2011,5.6,5.51,5.7,5.51,322.89K,3.32%,2704
08/17/2011,5.51,5.6,5.6,5.51,200.84K,-1.61%,2703
08/18/2011,5.51,5.6,5.6,5.42,313.04K,0.00%,2702
08/19/2011,5.42,5.51,5.51,5.42,97.10K,-1.63%,2701
08/22/2011,5.32,5.42,5.51,5.23,133.07K,-1.85%,2700
08/23/2011,5.32,5.23,5.32,5.14,69.48K,0.00%,2699
08/24/2011,5.14,5.51,5.51,5.14,59.53K,-3.38%,2698
08/25/2011,5.23,5.23,5.32,5.23,33.08K,1.75%,2697
08/26/2011,5.14,5.23,5.32,5.14,74.19K,-1.72%,2696
08/29/2011,5.14,5.23,5.23,5.14,92.29K,0.00%,2695
08/30/2011,5.32,5.14,5.6,5.14,627.26K,3.50%,2694
09/01/2011,5.51,5.32,5.51,5.32,152.99K,3.57%,2693
09/02/2011,5.6,5.51,5.7,5.42,480.80K,1.63%,2692
09/05/2011,6.07,5.7,6.35,5.6,3.91M,8.39%,2691
09/06/2011,5.98,6.26,6.26,5.6,272.47K,-1.48%,2690
09/07/2011,5.7,5.79,6.07,5.6,3.20M,-4.68%,2689
09/08/2011,7.01,5.98,7.38,5.88,41.60M,22.98%,2688
09/09/2011,6.63,7.38,7.57,6.26,22.99M,-5.42%,2687
09/12/2011,6.26,6.54,6.73,6.16,3.32M,-5.58%,2686
09/13/2011,6.26,6.45,6.54,6.16,2.62M,0.00%,2685
09/14/2011,6.07,6.45,6.45,5.98,1.76M,-3.04%,2684
09/15/2011,5.88,6.07,6.16,5.88,1.01M,-3.13%,2683
09/16/2011,6.35,6.16,6.82,5.98,4.42M,7.99%,2682
09/20/2011,6.16,6.45,6.45,6.16,4.04M,-2.99%,2681
09/21/2011,6.26,6.16,6.45,6.07,948.22K,1.62%,2680
09/22/2011,6.26,6.26,6.45,6.16,348.69K,0.00%,2679
09/23/2011,6.26,6.26,6.45,6.26,720.93K,0.00%,2678
09/26/2011,6.26,6.26,6.35,6.26,1.24M,0.00%,2677
09/27/2011,6.26,6.35,6.35,6.16,668.37K,0.00%,2676
09/28/2011,6.07,6.26,6.26,5.88,1.31M,-3.04%,2675
09/29/2011,6.35,5.88,6.54,5.88,1.18M,4.61%,2674
09/30/2011,6.73,6.16,6.91,6.16,3.56M,5.98%,2673
10/03/2011,6.82,6.73,7.1,6.45,3.63M,1.34%,2672
10/04/2011,6.82,6.82,7.19,6.73,2.95M,0.00%,2671
10/05/2011,6.82,6.73,7.01,6.73,2.25M,0.00%,2670
10/06/2011,6.91,6.82,6.91,6.82,813.43K,1.32%,2669
10/07/2011,6.91,6.91,7.01,6.82,1.46M,0.00%,2668
10/10/2011,7.1,7.01,7.38,6.91,6.98M,2.75%,2667
10/12/2011,6.91,7.19,7.19,6.82,1.40M,-2.68%,2666
10/13/2011,7.01,6.91,7.1,6.82,1.63M,1.45%,2665
10/14/2011,7.01,6.91,7.29,6.91,6.21M,0.00%,2664
10/17/2011,6.91,7.01,7.1,6.73,1.26M,-1.43%,2663
10/18/2011,6.54,6.63,6.82,6.35,2.14M,-5.35%,2662
10/19/2011,6.45,6.54,6.73,6.45,1.34M,-1.38%,2661
10/20/2011,6.16,6.45,6.45,6.16,513.24K,-4.50%,2660
10/21/2011,6.73,6.45,6.73,6.35,1.11M,9.25%,2659
10/24/2011,6.73,6.73,6.82,6.54,118.30K,0.00%,2658
10/25/2011,6.54,6.73,6.73,6.45,270.43K,-2.82%,2657
10/27/2011,6.35,6.45,6.54,6.35,1.19M,-2.91%,2656
10/28/2011,6.26,6.35,6.54,6.26,157.59K,-1.42%,2655
10/31/2011,6.45,6.35,6.45,6.16,274.61K,3.04%,2654
11/01/2011,6.35,6.35,6.35,6.26,285.85K,-1.55%,2653
11/02/2011,6.54,6.45,6.54,6.35,726.29K,2.99%,2652
11/03/2011,6.35,6.45,6.54,6.35,195.92K,-2.91%,2651
11/04/2011,6.45,6.35,6.54,6.35,142.82K,1.57%,2650
11/08/2011,6.35,6.45,6.45,6.26,84.79K,-1.55%,2649
11/09/2011,6.26,6.26,6.35,6.26,127.40K,-1.42%,2648
11/11/2011,6.54,6.26,6.54,6.26,672.01K,4.47%,2647
11/14/2011,6.45,6.45,6.63,6.35,2.67M,-1.38%,2646
11/15/2011,6.26,6.45,6.45,6.26,349.87K,-2.95%,2645
11/16/2011,6.26,6.45,6.45,6.26,897.69K,0.00%,2644
11/17/2011,6.35,6.35,6.45,6.26,453.61K,1.44%,2643
11/18/2011,6.35,6.45,6.54,6.35,796.52K,0.00%,2642
11/21/2011,6.35,6.35,6.45,6.35,126.76K,0.00%,2641
11/22/2011,6.35,6.45,6.45,6.35,228.25K,0.00%,2640
11/23/2011,6.35,6.35,6.54,6.26,1.56M,0.00%,2639
11/24/2011,6.07,6.26,6.35,5.88,704.98K,-4.41%,2638
11/25/2011,6.07,5.98,6.16,5.98,206.09K,0.00%,2637
11/28/2011,6.35,6.35,6.35,6.16,455.43K,4.61%,2636
11/29/2011,6.26,6.45,6.54,6.26,535.40K,-1.42%,2635
11/30/2011,6.45,6.26,6.45,6.07,646.74K,3.04%,2634
12/01/2011,6.45,6.35,6.54,6.35,350.94K,0.00%,2633
12/02/2011,6.35,6.54,6.54,6.35,77.62K,-1.55%,2632
12/05/2011,6.26,6.35,6.35,6.07,146.46K,-1.42%,2631
12/06/2011,6.26,6.26,6.35,6.16,118.62K,0.00%,2630
12/07/2011,6.45,6.26,6.45,6.26,3.36M,3.04%,2629
12/08/2011,6.26,6.35,6.35,6.26,25.27K,-2.95%,2628
12/09/2011,6.45,6.35,6.45,6.26,191.74K,3.04%,2627
12/12/2011,6.16,6.35,6.35,6.16,419.56K,-4.50%,2626
12/13/2011,6.26,6.16,6.26,6.16,52.78K,1.62%,2625
12/14/2011,6.26,6.26,6.26,6.26,265.93K,0.00%,2624
12/15/2011,6.26,6.26,6.26,6.16,80.62K,0.00%,2623
12/16/2011,6.26,6.16,6.26,6.16,143.25K,0.00%,2622
12/19/2011,6.26,6.16,6.35,6.16,185.96K,0.00%,2621
12/20/2011,6.26,6.26,6.35,6.16,164.34K,0.00%,2620
12/21/2011,6.07,6.16,6.26,6.07,44.64K,-3.04%,2619
12/22/2011,6.26,6.16,6.26,6.16,12.85K,3.13%,2618
12/23/2011,6.26,6.26,6.35,6.26,28.26K,0.00%,2617
12/27/2011,6.16,6.26,6.26,6.16,52.14K,-1.60%,2616
12/28/2011,6.35,6.35,6.45,6.26,180.50K,3.08%,2615
12/29/2011,6.35,6.35,6.35,6.26,139.39K,0.00%,2614
12/30/2011,6.35,6.35,6.54,6.35,461.10K,0.00%,2613
01/02/2012,6.35,6.45,6.45,6.35,43.15K,0.00%,2612
01/03/2012,6.26,6.26,6.26,6.26,49.78K,-1.42%,2611
01/04/2012,6.26,6.26,6.35,6.26,67.34K,0.00%,2610
01/05/2012,6.26,6.16,6.26,6.16,41.22K,0.00%,2609
01/06/2012,6.26,6.26,6.35,6.26,21.84K,0.00%,2608
01/09/2012,6.16,6.26,6.35,6.16,238.85K,-1.60%,2607
01/10/2012,6.35,6.16,6.35,6.16,70.02K,3.08%,2606
01/11/2012,6.26,6.45,6.45,6.26,115.84K,-1.42%,2605
01/12/2012,6.54,6.26,6.54,6.26,99.67K,4.47%,2604
01/13/2012,6.54,6.45,6.54,6.35,203.20K,0.00%,2603
01/17/2012,6.45,6.54,6.63,6.45,1.91M,-1.38%,2602
01/18/2012,6.35,6.54,6.54,6.35,397.08K,-1.55%,2601
01/19/2012,6.35,6.35,6.35,6.16,160.05K,0.00%,2600
01/20/2012,6.54,6.26,6.54,6.16,1.18M,2.99%,2599
01/23/2012,6.45,6.54,6.54,6.35,861.72K,-1.38%,2598
01/24/2012,6.26,6.45,6.45,6.16,1.46M,-2.95%,2597
01/25/2012,6.26,6.26,6.45,6.26,177.72K,0.00%,2596
01/26/2012,6.26,6.35,6.35,6.26,95.60K,0.00%,2595
01/27/2012,6.26,6.35,6.35,6.26,908.50K,0.00%,2594
01/30/2012,6.26,6.16,6.45,6.16,215.19K,0.00%,2593
01/31/2012,6.26,6.26,6.26,6.26,168.08K,0.00%,2592
02/01/2012,6.26,6.35,6.45,6.26,543.43K,0.00%,2591
02/02/2012,6.26,6.26,6.35,6.26,990.94K,0.00%,2590
02/03/2012,6.26,6.26,6.26,6.26,72.48K,0.00%,2589
02/06/2012,6.26,6.26,6.45,6.26,1.10M,0.00%,2588
02/08/2012,6.35,6.35,6.45,6.16,528.98K,1.44%,2587
02/09/2012,6.26,6.35,6.35,6.26,1.82M,-1.42%,2586
02/13/2012,5.98,6.26,6.26,5.98,893.83K,-4.47%,2585
02/14/2012,5.79,6.26,6.26,5.79,792.77K,-3.18%,2584
02/15/2012,5.7,5.6,6.07,5.51,1.12M,-1.55%,2583
02/16/2012,6.07,6.07,6.35,5.98,177.29K,6.49%,2582
02/17/2012,5.98,6.35,6.35,5.79,39.29K,-1.48%,2581
02/21/2012,6.16,6.07,6.26,5.98,145.60K,3.01%,2580
02/22/2012,6.35,6.26,6.35,6.07,313.58K,3.08%,2579
02/23/2012,6.26,6.16,6.45,6.07,142.60K,-1.42%,2578
02/24/2012,6.45,6.26,6.54,6.26,230.61K,3.04%,2577
02/27/2012,6.45,6.54,6.54,6.35,3.86K,0.00%,2576
02/28/2012,6.26,6.54,6.54,6.26,4.93K,-2.95%,2575
02/29/2012,6.26,6.26,6.26,6.26,7.17K,0.00%,2574
03/01/2012,6.35,6.45,6.45,6.26,81.27K,1.44%,2573
03/02/2012,6.26,6.35,6.35,6.26,0.32K,-1.42%,2572
03/05/2012,6.26,6.35,6.35,6.16,81.37K,0.00%,2571
03/06/2012,6.35,6.16,6.35,6.16,75.36K,1.44%,2570
03/08/2012,6.26,6.35,6.35,6.26,107.27K,-1.42%,2569
03/09/2012,6.26,6.26,6.45,6.26,488.62K,0.00%,2568
03/12/2012,6.26,6.45,6.45,6.16,88.60K,0.00%,2567
03/13/2012,6.26,6.35,6.35,6.16,205.24K,0.00%,2566
03/14/2012,6.16,6.07,6.16,6.07,29.33K,-1.60%,2565
03/15/2012,6.26,6.26,6.26,6.07,59.77K,1.62%,2564
03/16/2012,6.35,6.16,6.35,6.16,27.95K,1.44%,2563
03/19/2012,5.79,6.35,6.35,5.6,363.06K,-8.82%,2562
03/20/2012,5.88,5.88,5.88,5.7,84.42K,1.55%,2561
03/21/2012,5.7,5.7,5.7,5.6,78.37K,-3.06%,2560
03/22/2012,5.6,5.6,5.6,5.6,44.75K,-1.75%,2559
03/23/2012,5.6,5.6,5.7,5.6,4.50K,0.00%,2558
03/26/2012,5.98,5.79,5.98,5.79,106.42K,6.79%,2557
03/27/2012,5.88,5.88,5.98,5.88,52.78K,-1.67%,2556
03/28/2012,5.7,5.79,5.88,5.6,46.28K,-3.06%,2555
03/29/2012,5.7,5.7,5.7,5.51,68.98K,0.00%,2554
03/30/2012,5.51,5.6,5.7,5.51,905.19K,-3.33%,2553
04/02/2012,5.6,5.88,6.35,5.51,943.79K,1.63%,2552
04/03/2012,5.51,5.6,5.7,5.51,7.85K,-1.61%,2551
04/04/2012,5.51,5.7,5.7,5.51,64.34K,0.00%,2550
04/05/2012,5.6,5.7,5.7,5.42,28.94K,1.63%,2549
04/09/2012,5.6,5.6,5.7,5.51,8.36K,0.00%,2548
04/10/2012,5.6,5.42,5.6,5.42,54.07K,0.00%,2547
04/11/2012,5.7,5.7,5.7,5.6,31.09K,1.79%,2546
04/16/2012,5.7,5.7,5.7,5.51,20.45K,0.00%,2545
04/17/2012,5.7,5.6,5.7,5.6,8.57K,0.00%,2544
04/18/2012,5.51,5.7,5.7,5.51,20.50K,-3.33%,2543
04/19/2012,5.51,5.51,5.6,5.51,7.07K,0.00%,2542
04/20/2012,5.79,5.6,5.79,5.51,57.41K,5.08%,2541
04/23/2012,5.6,5.88,5.88,5.51,14.81K,-3.28%,2540
04/24/2012,5.6,5.88,5.88,5.42,101.28K,0.00%,2539
04/25/2012,5.51,5.6,5.6,5.42,6.00K,-1.61%,2538
04/26/2012,5.42,5.51,5.6,5.42,7.93K,-1.63%,2537
04/27/2012,5.42,5.6,5.6,5.42,39.95K,0.00%,2536
04/30/2012,5.32,5.6,5.6,5.32,444.94K,-1.85%,2535
05/02/2012,5.32,5.32,5.32,5.14,125.57K,0.00%,2534
05/03/2012,5.32,5.32,5.32,5.14,32.56K,0.00%,2533
05/04/2012,5.23,5.14,5.32,5.14,40.28K,-1.69%,2532
05/08/2012,4.86,5.14,5.23,4.86,45.32K,-7.07%,2531
05/09/2012,4.76,4.76,4.76,4.67,25.27K,-2.06%,2530
05/10/2012,4.67,4.76,4.86,4.67,12.42K,-1.89%,2529
05/11/2012,4.76,4.67,4.76,4.48,122.33K,1.93%,2528
05/14/2012,4.86,4.76,4.86,4.67,362.80K,2.10%,2527
05/15/2012,4.9,5,5,4.9,3.51K,0.82%,2526
05/16/2012,4.7,4.8,4.9,4.7,59.78K,-4.08%,2525
05/17/2012,4.9,5,5,4.8,32.10K,4.26%,2524
05/18/2012,5.2,4.9,5.2,4.9,36.91K,6.12%,2523
05/21/2012,5.1,5.1,5.3,5,95.47K,-1.92%,2522
05/22/2012,4.8,5,5.1,4.7,60.13K,-5.88%,2521
05/23/2012,4.5,4.7,4.7,4.4,125.78K,-6.25%,2520
05/24/2012,4.3,4.6,4.6,4.3,43.81K,-4.44%,2519
05/25/2012,4.2,4.3,4.5,4.2,1.65M,-2.33%,2518
05/28/2012,4.2,4.5,4.5,4.2,75.30K,0.00%,2517
05/29/2012,4.1,4.2,4.2,4,33.15K,-2.38%,2516
05/30/2012,4.2,4.1,4.3,4,13.15K,2.44%,2515
05/31/2012,4.1,4.2,4.2,4.1,21.89K,-2.38%,2514
06/01/2012,4.1,4.2,4.2,4.1,9.35K,0.00%,2513
06/05/2012,4.3,4,4.4,4,750.80K,4.88%,2512
06/06/2012,4.2,4.3,4.3,4.1,3.45K,-2.33%,2511
06/07/2012,4.2,4.2,4.2,4.2,57.13K,0.00%,2510
06/08/2012,4.5,4.2,4.5,4.2,451.56K,7.14%,2509
06/11/2012,4.5,4.5,4.6,4.5,884.55K,0.00%,2508
06/12/2012,4.8,4.5,4.8,4.5,132.05K,6.67%,2507
06/13/2012,4.9,4.8,4.9,4.8,117.47K,2.08%,2506
06/14/2012,5.2,5,5.2,4.9,291.40K,6.12%,2505
06/15/2012,5.1,5.2,5.5,5.1,192.30K,-1.92%,2504
06/18/2012,5,5.4,5.4,5,586.81K,-1.96%,2503
06/19/2012,5.2,5.2,5.2,5,42.01K,4.00%,2502
06/20/2012,5.3,5.3,5.3,5,8.20K,1.92%,2501
06/21/2012,5.1,5.3,5.3,5.1,15.55K,-3.77%,2500
06/22/2012,5,5,5.1,5,10.37K,-1.96%,2499
