Date,Close_Ratio_1,Trend_1,Close_Ratio_2,Trend_2,Close_Ratio_4,Trend_4,Close_Ratio_12,Trend_12,Close_Ratio_24,Trend_24
2009-11-01,1.0,1.0,1.041890025037031,2.0,1.1229678419597413,4.0,1.375348640448753,11.0,1.280084269972782,13.0
2009-12-01,1.0,1.0,1.0307403449852068,2.0,1.1096087139681514,4.0,1.3779782933367117,11.0,1.370243936925941,14.0
2010-01-01,1.0,0.0,0.9216989163787728,1.0,0.934210086456659,3.0,1.1375256255799666,10.0,1.1749605673046069,14.0
2010-02-01,1.0,0.0,0.9970285915539909,0.0,0.9325049274351834,2.0,1.093842474756946,10.0,1.162027870488854,14.0
2010-03-01,1.0,1.0,1.0368582830592146,1.0,1.01098119583351,2.0,1.1345577099277242,10.0,1.2365726081921997,15.0
2010-04-01,1.0,0.0,0.9620980521672882,1.0,0.978246710611396,1.0,1.029430259152473,9.0,1.151341238662907,14.0
2010-05-01,1.0,0.0,0.9603788885746847,0.0,0.9227027403859471,1.0,0.9404675071826458,8.0,1.0733953411592363,13.0
2010-06-01,1.0,0.0,0.956285308700393,0.0,0.8796085333504503,1.0,0.8584506143241822,7.0,0.9909146149638876,13.0
2010-07-01,1.0,1.0,1.0429124681584485,1.0,0.999108757855573,1.0,0.9291859265773265,7.0,1.0786619085434233,14.0
2010-08-01,1.0,0.0,0.9627435247082995,1.0,0.9649575819852447,1.0,0.8640439785698377,6.0,1.0024075833769643,14.0
2010-09-01,1.0,1.0,1.0776482768067854,1.0,1.1036675864031178,2.0,1.004710251867543,6.0,1.1577229141827894,15.0
2010-10-01,1.0,1.0,1.0771485408020969,2.0,1.1834011163923255,3.0,1.1583834804360922,6.0,1.3204770930391938,16.0
2010-11-01,1.0,0.0,0.9504109013661873,1.0,1.0361827617657389,2.0,1.0534470442773407,5.0,1.1681839967774041,16.0
2010-12-01,1.0,1.0,1.033278837664944,1.0,1.0378783833999652,3.0,1.130621286070574,5.0,1.218064789452759,16.0
2011-01-01,1.0,1.0,1.0053502962051064,2.0,1.0159493429707207,3.0,1.1301603729665,6.0,1.2042273663818497,16.0
2011-02-01,1.0,1.0,1.0107434345134672,2.0,1.0381477448886753,3.0,1.1392310648675144,7.0,1.202699858540818,17.0
2011-03-01,1.0,0.0,0.9778029521961277,1.0,0.9801836291352147,3.0,1.0864517120996309,6.0,1.1284605175066655,16.0
