Date,Price,Open,High,Low,Vol.,Change %,Sorting order
08/20/2015,210,200,214,200,49.74K,5.00%,1679
08/21/2015,222,215,222.9,212,50.81K,5.71%,1678
08/24/2015,220,224,224,205.1,71.07K,-0.90%,1677
08/25/2015,206.1,218.9,219,206.1,19.40K,-6.32%,1676
08/26/2015,205,214,219,205,71.33K,-0.53%,1675
08/27/2015,214.9,212,215,210,5.23K,4.83%,1674
08/28/2015,214.5,217.9,218,214.5,5.43K,-0.19%,1673
08/31/2015,214,216.9,217,212.2,10.36K,-0.23%,1672
09/01/2015,214.9,212.5,214.9,210,1.19K,0.42%,1671
09/02/2015,208,207.2,213.9,206,15.13K,-3.21%,1670
09/03/2015,212.9,216.6,216.6,207.1,6.98K,2.36%,1669
09/04/2015,213.9,213,214,207,18.48K,0.47%,1668
09/07/2015,205.1,213.5,213.5,205.1,0.12K,-4.11%,1667
09/08/2015,205,205.3,213.3,203,21.70K,-0.05%,1666
09/09/2015,209,210.3,212,209,22.84K,1.95%,1665
09/10/2015,209.9,210.9,210.9,209.9,0.87K,0.43%,1664
09/14/2015,218.5,210,220,210,62.44K,4.10%,1663
09/15/2015,224.9,220,228,220,30.00K,2.93%,1662
09/16/2015,222,222,227,221.1,15.82K,-1.29%,1661
09/17/2015,220,227,227,220,5.31K,-0.90%,1660
09/18/2015,220,220,225,220,6.92K,0.00%,1659
09/21/2015,238,222,238,222,45.41K,8.18%,1658
09/22/2015,239,239.9,242,235,23.94K,0.42%,1657
09/23/2015,237,240,240,230,0.52K,-0.84%,1656
09/25/2015,240,237,241,230,121.51K,1.27%,1655
09/28/2015,232,239.5,239.5,232,2.54K,-3.33%,1654
09/29/2015,230,235,235,230,1.66K,-0.86%,1653
09/30/2015,230,235,239.8,230,1.00K,0.00%,1652
10/01/2015,234.8,239.9,239.9,234.8,4.31K,2.09%,1651
10/02/2015,235.1,239.5,239.5,235.1,0.33K,0.13%,1650
10/05/2015,238.5,235,238.5,232,5.54K,1.45%,1649
10/06/2015,232,232.5,237,230,9.83K,-2.73%,1648
10/07/2015,235,235,235.9,232.2,5.76K,1.29%,1647
10/08/2015,263,233,265,233,67.22K,11.91%,1646
10/09/2015,260,260,261.1,250,32.67K,-1.14%,1645
10/12/2015,280,264,280,256,26.52K,7.69%,1644
10/13/2015,280,295,295,280,14.49K,0.00%,1643
10/14/2015,275,285,285,270,8.41K,-1.79%,1642
10/15/2015,267,279.9,279.9,267,20.20K,-2.91%,1641
10/16/2015,265,279,279,265,5.41K,-0.75%,1640
10/19/2015,269,273,288,265.9,17.52K,1.51%,1639
10/20/2015,275,280,280,270,4.57K,2.23%,1638
10/21/2015,290.3,278,291,272,159.95K,5.56%,1637
10/22/2015,314,293,315,293,180.80K,8.16%,1636
10/23/2015,322,315,329.9,315,68.99K,2.55%,1635
10/26/2015,319.5,320,324,307,31.96K,-0.78%,1634
10/28/2015,319,315,324,315,26.31K,-0.16%,1633
10/29/2015,310,319,319,307.7,22.75K,-2.82%,1632
10/30/2015,298.2,308,310,298.2,68.01K,-3.81%,1631
11/02/2015,303,307.9,307.9,294,60.20K,1.61%,1630
11/03/2015,299.9,304,304.9,294,7.78K,-1.02%,1629
11/04/2015,298,299.9,300,290,31.53K,-0.63%,1628
11/05/2015,295,299.5,299.5,292.5,36.33K,-1.01%,1627
11/06/2015,303,299.1,304,295.2,17.10K,2.71%,1626
11/09/2015,300,302,303,300,4.00K,-0.99%,1625
11/11/2015,298,305,305,294,7.17K,-0.67%,1624
11/12/2015,295,300,310,293,12.43K,-1.01%,1623
11/13/2015,298,290.2,299,290,8.19K,1.02%,1622
11/16/2015,297.5,291,297.5,289.9,10.66K,-0.17%,1621
11/17/2015,294,290,294,289.9,4.95K,-1.18%,1620
11/18/2015,294,294.9,294.9,285,10.06K,0.00%,1619
11/19/2015,293.9,299,299,287,16.01K,-0.03%,1618
11/20/2015,295,294,295,290,28.80K,0.37%,1617
11/23/2015,295,298.8,300,290.5,2.76K,0.00%,1616
11/24/2015,295,290.2,295,290,1.68K,0.00%,1615
11/26/2015,290,295,295,288,16.06K,-1.69%,1614
11/27/2015,290,294.9,294.9,288.1,0.02K,0.00%,1613
11/30/2015,289.9,288,289.9,288,2.03K,-0.03%,1612
12/01/2015,289.9,289.8,289.9,284,2.81K,0.00%,1611
12/02/2015,284,284.9,284.9,281,3.11K,-2.04%,1610
12/03/2015,285,285,285,280,2.42K,0.35%,1609
12/04/2015,295,284.6,300,280.1,25.37K,3.51%,1608
12/07/2015,290,287,291.5,281,1.65K,-1.69%,1607
12/08/2015,285,289.8,289.8,280,14.60K,-1.72%,1606
12/09/2015,280.2,280,285,280,0.06K,-1.68%,1605
12/10/2015,284,280.1,284,275,11.56K,1.36%,1604
12/11/2015,283.7,280,283.7,280,5.71K,-0.11%,1603
12/14/2015,284.8,287.9,287.9,284.8,0.00K,0.39%,1602
12/15/2015,282.7,283.7,283.7,270,2.77K,-0.74%,1601
12/16/2015,289,281.9,299,260.1,5.86K,2.23%,1600
12/17/2015,297,289,299,289,15.53K,2.77%,1599
12/18/2015,296.9,297,297,295,9.59K,-0.03%,1598
12/21/2015,295.9,290,295.9,290,1.02K,-0.34%,1597
12/22/2015,285,285,285,285,0.00K,-3.68%,1596
12/23/2015,296,285,296,282.7,1.20K,3.86%,1595
12/28/2015,295.5,290,295.5,290,2.10K,-0.17%,1594
12/29/2015,293,288,293,288,2.56K,-0.85%,1593
12/30/2015,299,290,299,285,8.59K,2.05%,1592
12/31/2015,298.8,299,299,298,6.04K,-0.07%,1591
01/04/2016,298,298.9,298.9,298,0.01K,-0.27%,1590
01/05/2016,292,297,297,292,0.01K,-2.01%,1589
