Date,Price,Open,High,Low,Vol.,Change %,Sorting order
01/24/2013,83,83,83,83,0.50K,-0.95%,1638
01/28/2013,83,83,83,83,0.50K,0.00%,1637
01/29/2013,83,83,83,83,,0.00%,1636
01/30/2013,84.9,81.2,84.9,81.2,1.26K,2.29%,1635
01/31/2013,84.2,84.2,84.2,84.2,,-0.82%,1634
02/01/2013,83,81.2,84.4,81.2,0.56K,-1.43%,1633
02/05/2013,83,83,83,83,,0.00%,1632
02/06/2013,83,83,83,83,,0.00%,1631
02/07/2013,87,83.5,87,83.5,0.31K,4.82%,1630
02/08/2013,85,85,86.5,85,0.54K,-2.30%,1629
02/11/2013,86,86.5,86.5,85.9,1.50K,1.18%,1628
02/12/2013,85.2,85.9,86,85.2,1.37K,-0.93%,1627
02/13/2013,85,85.6,85.7,85,0.83K,-0.23%,1626
02/14/2013,85.5,85.5,85.5,85.5,0.10K,0.59%,1625
02/15/2013,85,82,85,82,0.50K,-0.58%,1624
02/18/2013,85,85.5,85.5,85,0.21K,0.00%,1623
02/19/2013,85,80.3,85,80.3,0.23K,0.00%,1622
02/20/2013,85,85,85,85,0.10K,0.00%,1621
02/21/2013,84,80.3,84,80.3,0.25K,-1.18%,1620
02/22/2013,87,86,88.9,86,4.25K,3.57%,1619
02/26/2013,83,87,87,83,1.16K,-4.60%,1618
02/27/2013,86,83.5,86,83.5,0.70K,3.61%,1617
02/28/2013,85,83,86,83,0.54K,-1.16%,1616
03/01/2013,88,85,88,85,1.30K,3.53%,1615
03/04/2013,85.8,85.8,85.8,85.8,,-2.50%,1614
03/05/2013,87.9,86,87.9,86,0.50K,2.45%,1613
03/06/2013,88,87.9,88,87.5,2.81K,0.11%,1612
03/07/2013,89.2,89.2,89.2,86,1.71K,1.36%,1611
03/08/2013,87.9,86,87.9,85,0.29K,-1.46%,1610
03/11/2013,87.9,86.1,88,86,4.01K,0.00%,1609
03/12/2013,88,88,88,88,0.00K,0.11%,1608
03/13/2013,88.8,85.3,88.9,85.3,0.10K,0.91%,1607
03/14/2013,87.9,85.2,88,85,0.95K,-1.01%,1606
03/15/2013,88,87.9,88,87.9,3.00K,0.11%,1605
03/18/2013,87.9,87.9,87.9,87.9,0.00K,-0.11%,1604
03/19/2013,87,85.5,87.4,85.5,0.62K,-1.02%,1603
03/20/2013,87.5,87.9,87.9,85.5,1.00K,0.57%,1602
03/21/2013,87.8,87,87.8,87,1.05K,0.34%,1601
03/22/2013,87.8,87,89,87,0.51K,0.00%,1600
03/25/2013,87.8,88,90,87.8,1.23K,0.00%,1599
03/27/2013,89,87.8,89.8,87,14.58K,1.37%,1598
03/28/2013,86.5,85.8,89.7,84,59.27K,-2.81%,1597
04/01/2013,86.5,74.3,86.5,74.3,5.40K,0.00%,1596
04/02/2013,84,84,84,84,0.02K,-2.89%,1595
04/03/2013,84,84,84,84,0.00K,0.00%,1594
04/04/2013,83,83,83,83,0.10K,-1.19%,1593
04/05/2013,84,81,84,81,0.80K,1.20%,1592
04/08/2013,80.1,84,85,80.1,6.95K,-4.64%,1591
04/09/2013,82.6,80.1,84.4,80.1,0.21K,3.12%,1590
04/10/2013,84.4,84.4,84.4,84.4,0.00K,2.18%,1589
04/11/2013,84.4,84.4,84.4,84.4,,0.00%,1588
04/12/2013,84.4,84.4,84.4,84.4,0.10K,0.00%,1587
04/16/2013,84.4,84.4,84.4,84.4,,0.00%,1586
04/17/2013,84,80.5,84,80.5,0.10K,-0.47%,1585
04/18/2013,84,80,84,80,0.10K,0.00%,1584
04/19/2013,80.2,83,83,80.2,0.32K,-4.52%,1583
04/22/2013,80.2,80.2,80.2,80.2,,0.00%,1582
04/23/2013,80.7,80.5,80.7,80.5,3.21K,0.62%,1581
04/24/2013,84.5,83.9,84.5,83.9,0.20K,4.71%,1580
04/26/2013,84.1,84.1,84.1,84.1,,-0.47%,1579
04/29/2013,84.1,84.1,84.1,84.1,,0.00%,1578
04/30/2013,84,83.7,84,83.7,1.00K,-0.12%,1577
05/02/2013,83.9,83.9,83.9,83.9,,-0.12%,1576
05/03/2013,83.9,83.9,83.9,83.9,,0.00%,1575
05/06/2013,81.9,76.1,82,76.1,0.81K,-2.38%,1574
05/07/2013,83.9,80,83.9,80,0.92K,2.44%,1573
05/08/2013,82,82.5,82.5,80,0.15K,-2.26%,1572
05/09/2013,80.3,82.5,82.5,80.3,0.01K,-2.07%,1571
05/10/2013,83,80.3,83,80.3,0.14K,3.36%,1570
05/13/2013,85,82.9,85,82.9,4.00K,2.41%,1569
05/14/2013,84.8,84.8,84.8,84.8,,-0.24%,1568
05/15/2013,84.8,84.8,84.8,84.8,,0.00%,1567
05/16/2013,84.5,84.5,84.5,84.5,0.00K,-0.35%,1566
05/17/2013,84.9,84.5,84.9,80.5,0.79K,0.47%,1565
05/20/2013,85,81.2,85,81,0.45K,0.12%,1564
05/21/2013,81,82,82,81,1.70K,-4.71%,1563
05/22/2013,81.3,81.3,81.3,81.3,0.01K,0.37%,1562
05/23/2013,81.3,81.3,81.3,81.3,,0.00%,1561
05/27/2013,81.5,81.5,81.5,81.5,0.05K,0.25%,1560
05/28/2013,84,84,84,84,0.30K,3.07%,1559
05/29/2013,83,84,84,80,1.33K,-1.19%,1558
05/30/2013,84,84,84,84,0.00K,1.20%,1557
05/31/2013,83.9,83.9,83.9,83.9,0.00K,-0.12%,1556
06/03/2013,85,83.9,85,83.9,2.30K,1.31%,1555
06/04/2013,85,84.9,90,84.9,21.93K,0.00%,1554
06/05/2013,85,85,85,85,0.00K,0.00%,1553
06/06/2013,83.6,77.4,84,77.4,1.80K,-1.65%,1552
06/07/2013,80,81,81,80,0.19K,-4.31%,1551
06/10/2013,83,83,83,83,0.00K,3.75%,1550
06/11/2013,83,83,83,83,0.30K,0.00%,1549
06/12/2013,83,83,83,83,,0.00%,1548
06/13/2013,83,83,83,83,,0.00%,1547
06/14/2013,82,73.3,82,73.3,0.11K,-1.20%,1546
06/17/2013,82,81.5,82,81.4,0.39K,0.00%,1545
06/18/2013,82,78,82,78,5.26K,0.00%,1544
06/19/2013,79.4,79.4,79.4,79.4,,-3.17%,1543
06/20/2013,81.9,77.3,81.9,77.3,0.40K,3.15%,1542
06/21/2013,81.4,81.5,81.5,81.4,2.70K,-0.61%,1541
06/24/2013,81.4,81.4,81.4,81.4,0.11K,0.00%,1540
06/25/2013,81.4,81.4,81.4,81.4,,0.00%,1539
06/26/2013,81.4,81.4,81.4,81.4,,0.00%,1538
06/27/2013,84,83.8,84,83.8,4.31K,3.19%,1537
